Location: 1p
Booth ID: 112)
Total staff: 12

staff_code,name,phone_number,staff_type
c3f903f5-3890-40aa-8456-c24ca4d90de1,እዝቅያስ ደጉ (mixed with out door-111,1208,Staff
679d0fba-fec0-4446-ab9c-f00dc5c4b49d,እዝቅያስ ደጉ (mixed with out door-111,1209,Staff
f2c8847a-7ec9-4d5f-a861-e1f74eb6576f,እዝቅያስ ደጉ (mixed with out door-111,1210,Staff
b18fe8b8-f956-48d1-8808-0277f60b0e99,እዝቅያስ ደጉ (mixed with out door-111,1211,Staff
131139a6-06cd-4053-b673-0b1d32e798b1,እዝቅያስ ደጉ (mixed with out door-111,1212,Staff
803f43d6-5e7c-4555-87be-c8190bd44fc4,እዝቅያስ ደጉ (mixed with out door-111,1213,Staff
926431cd-51da-43d9-a42a-b33d7d57e696,እዝቅያስ ደጉ (mixed with out door-111,1214,Staff
970f5f40-afd5-479e-9726-04218242607a,እዝቅያስ ደጉ (mixed with out door-111,1215,Staff
4f4fac4b-e370-4187-8dae-4da4b443e585,እዝቅያስ ደጉ (mixed with out door-111,1292,Staff
8d42b738-9985-4f36-8bd2-3838332aa017,እዝቅያስ ደጉ (mixed with out door-111,1293,Staff
f6aa3e8f-4a76-429a-ae5c-75fb989a17b8,እዝቅያስ ደጉ (mixed with out door-111,1294,Staff
327744d4-bb28-4b33-a1ba-69ca331ed9b1,እዝቅያስ ደጉ (mixed with out door-111,1295,Staff
